# InP diameter (nm)         nExc        ExcE (eV)        Reorg_E (meV)
4.0       47       2.326604      2.857595
4.0       48       2.326604      2.838029
4.0       49       2.326651      2.829051
4.0       50       2.343489      2.968981
4.0       51       2.343489      3.035848
4.0       52       2.343511      2.903365
4.0       53       2.345144      3.360265
4.0       54       2.345144      3.360268
4.0       55       2.349136      2.753721
4.0       56       2.349143      2.665752
4.0       57       2.349143      2.708708
4.0       58       2.362659      2.987816
4.0       59       2.362660      2.676024
4.0       60       2.362660      2.785179
4.0       61       2.365216      3.582256
4.0       62       2.365232      3.134425
4.0       63       2.365232      3.244436
4.0       64       2.366288      4.174608
4.0       65       2.368265      3.447289
4.0       66       2.368274      3.323463
4.0       67       2.368274      3.380631
4.0       68       2.368475      2.049119
4.0       69       2.368475      2.049114
4.0       70       2.372048      1.597113
4.0       71       2.372048      1.597126
4.0       72       2.372873      2.000582
4.0       73       2.372873      2.017153
4.0       74       2.372889      2.090958
4.0       75       2.375120      2.050988
4.0       76       2.375120      2.051066
4.0       77       2.375640      4.832831
4.0       78       2.375640      4.747579
4.0       79       2.375673      4.820290
4.0       80       2.376995      1.161494
4.0       81       2.398104      4.938911
4.0       82       2.400270      2.892345
4.0       83       2.400270      2.907992
4.0       84       2.400272      2.842930
4.0       85       2.405891      3.617107
4.0       86       2.405891      3.617103
4.0       87       2.415290      1.554203
4.0       88       2.415290      1.558657
4.0       89       2.415292      1.655456
4.0       90       2.416534      2.825275
4.0       91       2.416621      2.802570
4.0       92       2.416621      2.673542
4.0       93       2.416796      2.739943
4.0       94       2.416796      2.709178
4.0       95       2.416813      2.162552
4.0       96       2.418792      1.160562
4.0       97       2.419308      2.301234
4.0       98       2.419429      2.133835
4.0       99       2.419429      2.159691
4.9       0       1.936315      1.556971
4.9       1       1.936315      1.744960
4.9       2       1.936315      1.671163
4.9       3       1.958223      4.504612
4.9       4       1.958223      2.817946
4.9       5       1.958223      4.388283
4.9       6       1.971745      1.653401
4.9       7       1.971745      1.890706
4.9       8       1.971745      1.769023
4.9       9       1.983392      2.109034
4.9       10       1.983392      2.109028
4.9       11       1.995957      1.731811
4.9       12       2.007143      1.819750
4.9       13       2.007143      1.713795
4.9       14       2.007143      1.806388
4.9       15       2.017825      1.420599
4.9       16       2.017825      1.420607
4.9       17       2.021052      1.503475
4.9       18       2.021052      1.360503
4.9       19       2.021052      1.399673
4.9       20       2.037856      2.125275
4.9       21       2.037856      2.100909
4.9       22       2.037856      1.603559
4.9       23       2.052864      2.362671
4.9       24       2.052864      2.193595
4.9       25       2.052864      2.170335
4.9       26       2.065596      1.691688
4.9       27       2.065596      1.691676
4.9       28       2.077326      1.865258
4.9       29       2.077326      1.801134
4.9       30       2.077326      1.806752
4.9       31       2.083620      1.764205
4.9       32       2.083620      1.516251
4.9       33       2.083620      1.756762
4.9       34       2.089400      1.752659
4.9       35       2.089400      1.676895
4.9       36       2.089400      1.719852
4.9       37       2.094091      1.861888
4.9       38       2.094091      1.661783
4.9       39       2.094091      1.782371
4.9       40       2.105221      1.630318
4.9       41       2.116943      1.654249
4.9       42       2.116943      1.654261
4.9       43       2.124639      1.338987
4.9       44       2.124639      1.466018
4.9       45       2.124640      1.499249
4.9       46       2.131584      1.629939
4.9       47       2.131584      1.701400
4.9       48       2.131584      1.797016
4.9       49       2.136293      1.817002
4.9       50       2.152379      1.899951
4.9       51       2.152379      1.752352
4.9       52       2.152379      1.902855
4.9       53       2.155274      1.689002
4.9       54       2.155274      1.734520
4.9       55       2.155274      1.718739
4.9       56       2.157138      2.323632
4.9       57       2.157138      2.323630
4.9       58       2.159633      3.031418
4.9       59       2.165954      1.674151
4.9       60       2.165954      1.652211
4.9       61       2.165954      1.666646
4.9       62       2.166881      1.898350
4.9       63       2.166881      1.903598
4.9       64       2.166881      1.962015
4.9       65       2.175625      1.898531
4.9       66       2.175625      1.898495
4.9       67       2.189029      1.592637
4.9       68       2.189029      1.662548
4.9       69       2.189029      1.679527
4.9       70       2.191608      1.628860
4.9       71       2.191608      1.628849
4.9       72       2.193079      2.667739
4.9       73       2.199224      0.813352
4.9       74       2.199224      0.838894
4.9       75       2.199225      0.919538
4.9       76       2.199639      0.869900
4.9       77       2.199639      0.869880
4.9       78       2.202984      2.633548
4.9       79       2.202984      2.718907
4.9       80       2.202984      2.490398
4.9       81       2.203373      1.562808
4.9       82       2.203373      1.894056
4.9       83       2.203375      1.448688
4.9       84       2.203911      0.576853
4.9       85       2.204037      1.699490
4.9       86       2.204037      1.694757
4.9       87       2.204038      1.726082
4.9       88       2.206311      2.585734
4.9       89       2.206311      2.585707
4.9       90       2.207039      2.073436
4.9       91       2.207040      2.038555
4.9       92       2.207040      2.035286
4.9       93       2.219570      1.776572
4.9       94       2.219571      1.777244
4.9       95       2.219820      1.318936
4.9       96       2.219824      1.354860
4.9       97       2.219824      1.350827
4.9       98       2.222098      1.553135
4.9       99       2.222105      1.562977
4.9       100       2.222112      1.567453
4.9       101       2.230842      0.976284
4.9       102       2.230842      0.975372
4.9       103       2.230843      0.916195
4.9       104       2.233597      0.627251
4.9       105       2.235529      0.852664
4.9       106       2.235529      1.018037
4.9       107       2.235529      0.985797
4.9       108       2.237550      2.511850
4.9       109       2.237550      3.178587
4.9       110       2.237550      2.256010
4.9       111       2.238225      1.295381
4.9       112       2.238226      1.456903
4.9       113       2.238227      1.455180
4.9       114       2.241544      1.370387
4.9       115       2.241545      1.284372
4.9       116       2.241545      1.285469
4.9       117       2.242881      1.857861
4.9       118       2.242883      1.886784
4.9       119       2.242888      1.854023
6.1       0       1.822743      0.718753
6.1       1       1.822743      0.762166
6.1       2       1.822770      0.687674
6.1       3       1.838076      1.656445
6.1       4       1.838078      1.838714
6.1       5       1.838078      1.757360
6.1       6       1.847584      0.905563
6.1       7       1.847585      0.926567
6.1       8       1.847585      0.887752
6.1       9       1.854962      1.116197
6.1       10       1.854964      1.116275
6.1       11       1.857982      0.867052
6.1       12       1.871542      0.933939
6.1       13       1.871544      0.954922
6.1       14       1.871544      0.971487
6.1       15       1.874946      0.939233
6.1       16       1.874956      0.939588
6.1       17       1.877203      0.676739
6.1       18       1.877203      0.718226
6.1       19       1.877231      0.661024
6.1       20       1.892752      1.082549
6.1       21       1.892752      0.990480
6.1       22       1.892752      0.940921
6.1       23       1.893125      1.088398
6.1       24       1.893125      1.094766
6.1       25       1.893133      0.869744
6.1       26       1.909327      0.854656
6.1       27       1.909330      0.854728
6.1       28       1.916713      0.843088
6.1       29       1.916715      0.896562
6.1       30       1.916715      0.886353
6.1       31       1.922217      0.839992
6.1       32       1.922993      0.903653
6.1       33       1.922993      0.886332
6.1       34       1.923002      0.781429
6.1       35       1.928589      0.930290
6.1       36       1.928589      0.916365
6.1       37       1.928657      0.875117
6.1       38       1.929105      0.945260
6.1       39       1.929107      0.970707
6.1       40       1.929107      0.910011
6.1       41       1.935023      0.865304
6.1       42       1.935054      0.864611
6.1       43       1.944892      1.004645
6.1       44       1.944893      0.989144
6.1       45       1.944970      0.956504
6.1       46       1.950616      0.773311
6.1       47       1.950630      0.852308
6.1       48       1.950630      0.842927
6.1       49       1.952031      0.892457
6.1       50       1.966286      0.879356
6.1       51       1.966326      0.877168
6.1       52       1.966329      0.867245
6.1       53       1.966983      0.820590
6.1       54       1.966986      0.894305
6.1       55       1.966986      0.897706
6.1       56       1.971182      1.136781
6.1       57       1.971183      1.136763
6.1       58       1.976346      0.898126
6.1       59       1.976366      0.980943
6.1       60       1.976368      0.985891
6.1       61       1.980081      1.160574
6.1       62       1.984473      0.940842
6.1       63       1.984474      0.958841
6.1       64       1.984501      0.844963
6.1       65       1.985842      0.921641
6.1       66       1.985844      1.011445
6.1       67       1.985845      0.998043
6.1       68       1.989999      0.847611
6.1       69       1.990021      0.847024
6.1       70       1.993872      0.978952
6.1       71       1.993874      0.908233
6.1       72       1.993875      0.926631
6.1       73       1.999848      0.901621
6.1       74       1.999851      0.901674
6.1       75       2.000160      1.397011
6.1       76       2.001228      1.003054
6.1       77       2.001228      0.967508
6.1       78       2.001280      0.980059
6.1       79       2.012218      0.910023
6.1       80       2.012219      0.939968
6.1       81       2.012224      0.944238
6.1       82       2.014002      0.957055
6.1       83       2.014071      0.963062
6.1       84       2.015404      0.764753
6.1       85       2.015405      0.735179
6.1       86       2.015407      0.746860
6.1       87       2.019410      1.119916
6.1       88       2.020868      1.028601
6.1       89       2.020871      1.016295
6.1       90       2.028313      0.443355
6.1       91       2.028322      0.469893
6.1       92       2.028322      0.416289
6.1       93       2.028771      0.449031
6.1       94       2.028779      0.447780
6.1       95       2.032517      0.220718
6.1       96       2.033528      1.342477
6.1       97       2.033608      1.424567
6.1       98       2.033608      1.398869
6.1       99       2.035570      1.470119
6.1       100       2.035572      1.470074
6.1       101       2.036093      1.625406
6.1       102       2.036093      1.617734
6.1       103       2.036093      1.573030
6.1       104       2.049074      0.379375
6.1       105       2.049077      0.395234
6.1       106       2.049077      0.392832
6.1       107       2.051397      0.262364
6.1       108       2.052052      0.693364
6.1       109       2.052055      0.680207
6.1       110       2.052055      0.692509
6.1       111       2.055003      0.536221
6.1       112       2.055014      0.593635
6.1       113       2.055014      0.582091
6.1       114       2.055654      1.829527
6.1       115       2.055660      1.610873
6.1       116       2.055660      1.465476
6.1       117       2.057203      0.520035
6.1       118       2.057209      0.562856
6.1       119       2.057209      0.528354
6.1       120       2.063306      0.315926
6.1       121       2.063307      0.315786
6.1       122       2.063403      0.736015
6.1       123       2.063410      0.754449
6.1       124       2.063410      0.721276
6.1       125       2.069675      0.415791
6.1       126       2.069722      0.470723
